State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Connecticut,12/7/2019,"4,291",11/30/2019,"30,183","1,655,540",1.82
Connecticut,12/14/2019,"4,343",12/7/2019,"31,040","1,655,540",1.87
Connecticut,12/21/2019,"5,058",12/14/2019,"33,146","1,655,540",2
Connecticut,12/28/2019,"4,684",12/21/2019,"36,677","1,655,540",2.22
Connecticut,1/4/2020,"7,852",12/28/2019,"46,562","1,655,540",2.81
Connecticut,1/11/2020,"5,986",1/4/2020,"47,540","1,654,391",2.87
Connecticut,1/18/2020,"3,776",1/11/2020,"42,483","1,654,391",2.57
Connecticut,1/25/2020,"2,949",1/18/2020,"41,760","1,654,391",2.52
Connecticut,2/1/2020,"2,994",1/25/2020,"41,725","1,654,391",2.52
Connecticut,2/8/2020,"2,944",2/1/2020,"41,633","1,654,391",2.52
Connecticut,2/15/2020,"2,520",2/8/2020,"39,384","1,654,391",2.38
Connecticut,2/22/2020,"2,435",2/15/2020,"41,691","1,654,391",2.52
Connecticut,2/29/2020,"2,843",2/22/2020,"42,168","1,654,391",2.55
Connecticut,3/7/2020,"2,527",2/29/2020,"40,638","1,654,391",2.46
Connecticut,3/14/2020,"3,440",3/7/2020,"39,786","1,654,391",2.4
Connecticut,3/21/2020,"25,100",3/14/2020,"44,194","1,654,391",2.67
Delaware,1/5/2019,991,12/29/2018,"7,142","436,213",1.64
Delaware,1/12/2019,"1,064",1/5/2019,"6,507","437,143",1.49
Delaware,1/19/2019,891,1/12/2019,"6,114","437,143",1.4
Delaware,1/26/2019,677,1/19/2019,"6,209","437,143",1.42
Delaware,2/2/2019,728,1/26/2019,"7,157","437,143",1.64
Delaware,2/9/2019,584,2/2/2019,"6,430","437,143",1.47
Delaware,2/16/2019,544,2/9/2019,"6,278","437,143",1.44
Delaware,2/23/2019,494,2/16/2019,"6,232","437,143",1.43
Delaware,3/2/2019,521,2/23/2019,"7,259","437,143",1.66
Delaware,3/9/2019,513,3/2/2019,"5,961","437,143",1.36
Delaware,3/16/2019,460,3/9/2019,"5,735","437,143",1.31
Delaware,3/23/2019,460,3/16/2019,"5,403","437,143",1.24
Delaware,3/30/2019,425,3/23/2019,"5,949","437,143",1.36
Delaware,4/6/2019,470,3/30/2019,"4,815","437,143",1.1
Delaware,4/13/2019,482,4/6/2019,"4,520","438,948",1.03
Delaware,4/20/2019,353,4/13/2019,"4,270","438,948",0.97
Delaware,4/27/2019,"1,135",4/20/2019,"4,120","438,948",0.94
Delaware,5/4/2019,489,4/27/2019,"5,327","438,948",1.21
Delaware,5/11/2019,566,5/4/2019,"3,832","438,948",0.87
Delaware,5/18/2019,427,5/11/2019,"3,873","438,948",0.88
Delaware,5/25/2019,397,5/18/2019,"3,849","438,948",0.88
Delaware,6/1/2019,390,5/25/2019,"4,491","438,948",1.02
Delaware,6/8/2019,670,6/1/2019,"3,816","438,948",0.87
Delaware,6/15/2019,"1,112",6/8/2019,"3,991","438,948",0.91
Delaware,6/22/2019,886,6/15/2019,"4,714","438,948",1.07
Delaware,6/29/2019,650,6/22/2019,"5,647","438,948",1.29
Delaware,7/6/2019,529,6/29/2019,"4,973","438,948",1.13
Delaware,7/13/2019,665,7/6/2019,"5,213","440,192",1.18
Delaware,7/20/2019,532,7/13/2019,"5,260","440,192",1.19
Delaware,7/27/2019,491,7/20/2019,"5,224","440,192",1.19
Delaware,8/3/2019,459,7/27/2019,"5,595","440,192",1.27
Delaware,8/10/2019,481,8/3/2019,"5,253","440,192",1.19
Delaware,8/17/2019,467,8/10/2019,"5,272","440,192",1.2
Delaware,8/24/2019,435,8/17/2019,"5,239","440,192",1.19
Delaware,8/31/2019,445,8/24/2019,"5,640","440,192",1.28
Delaware,9/7/2019,427,8/31/2019,"4,271","440,192",0.97
Delaware,9/14/2019,460,9/7/2019,"3,834","440,192",0.87
Delaware,9/21/2019,438,9/14/2019,"3,734","440,192",0.85
Delaware,9/28/2019,491,9/21/2019,"3,714","440,192",0.84
Delaware,10/5/2019,460,9/28/2019,"3,991","440,192",0.91
Delaware,10/12/2019,550,10/5/2019,"3,724","441,663",0.84
Delaware,10/19/2019,525,10/12/2019,"3,783","441,663",0.86
Delaware,10/26/2019,567,10/19/2019,"3,911","441,663",0.89
Delaware,11/2/2019,560,10/26/2019,"4,269","441,663",0.97
Delaware,11/9/2019,627,11/2/2019,"4,081","441,663",0.92
Delaware,11/16/2019,612,11/9/2019,"4,096","441,663",0.93
Delaware,11/23/2019,594,11/16/2019,"4,362","441,663",0.99
Delaware,11/30/2019,673,11/23/2019,"4,790","441,663",1.08
Delaware,12/7/2019,"1,099",11/30/2019,"5,148","441,663",1.17
Delaware,12/14/2019,765,12/7/2019,"4,549","441,663",1.03
Delaware,12/21/2019,902,12/14/2019,"4,836","441,663",1.09
Delaware,12/28/2019,"1,439",12/21/2019,"4,956","441,663",1.12
Delaware,1/4/2020,875,12/28/2019,"6,881","441,663",1.56
Delaware,1/11/2020,"1,107",1/4/2020,"7,083","443,288",1.6
Delaware,1/18/2020,830,1/11/2020,"5,967","443,288",1.35
Delaware,1/25/2020,674,1/18/2020,"5,703","443,288",1.29
Delaware,2/1/2020,622,1/25/2020,"6,830","443,288",1.54
Delaware,2/8/2020,608,2/1/2020,"5,888","443,288",1.33
Delaware,2/15/2020,610,2/8/2020,"5,917","443,288",1.33
Delaware,2/22/2020,632,2/15/2020,"5,921","443,288",1.34
Delaware,2/29/2020,524,2/22/2020,"6,742","443,288",1.52
Delaware,3/7/2020,518,2/29/2020,"5,480","443,288",1.24
Delaware,3/14/2020,472,3/7/2020,"5,310","443,288",1.2
Delaware,3/21/2020,"10,776",3/14/2020,"5,297","443,288",1.19
District of Columbia,1/5/2019,"1,190",12/29/2018,"8,150","567,976",1.43
District of Columbia,1/12/2019,"1,964",1/5/2019,"8,619","570,675",1.51
District of Columbia,1/19/2019,"1,193",1/12/2019,"9,764","570,675",1.71
District of Columbia,1/26/2019,904,1/19/2019,"10,057","570,675",1.76
District of Columbia,2/2/2019,597,1/26/2019,"9,836","570,675",1.72
District of Columbia,2/9/2019,509,2/2/2019,"8,650","570,675",1.52
District of Columbia,2/16/2019,436,2/9/2019,"8,126","570,675",1.42
District of Columbia,2/23/2019,376,2/16/2019,"7,816","570,675",1.37
District of Columbia,3/2/2019,399,2/23/2019,"7,778","570,675",1.36
District of Columbia,3/9/2019,406,3/2/2019,"7,429","570,675",1.3
District of Columbia,3/16/2019,430,3/9/2019,"7,259","570,675",1.27
District of Columbia,3/23/2019,388,3/16/2019,"7,237","570,675",1.27
District of Columbia,3/30/2019,379,3/23/2019,"7,017","570,675",1.23
District of Columbia,4/6/2019,439,3/30/2019,"6,753","570,675",1.18
District of Columbia,4/13/2019,419,4/6/2019,"6,715","572,997",1.17
District of Columbia,4/20/2019,409,4/13/2019,"6,625","572,997",1.16
District of Columbia,4/27/2019,393,4/20/2019,"6,643","572,997",1.16
District of Columbia,5/4/2019,424,4/27/2019,"6,570","572,997",1.15
District of Columbia,5/11/2019,396,5/4/2019,"6,306","572,997",1.1
District of Columbia,5/18/2019,500,5/11/2019,"6,316","572,997",1.1
District of Columbia,5/25/2019,452,5/18/2019,"6,228","572,997",1.09
District of Columbia,6/1/2019,410,5/25/2019,"6,299","572,997",1.1
